"date_time";"value"
"2016-06-10 20:20:00";0.022
"2016-06-10 20:45:00";0.02
"2016-06-10 21:10:00";0.018
"2016-06-10 21:35:00";0.017
"2016-06-10 22:00:00";0.015
"2016-06-10 22:25:00";0.014
"2016-06-10 22:50:00";0.014
"2016-06-10 23:15:00";0.014
"2016-06-10 23:40:00";0.013
"2016-06-11 00:05:00";0.013
"2016-06-11 00:30:00";0.012
"2016-06-11 00:55:00";0.012
"2016-06-11 01:20:00";0.012
"2016-06-11 01:45:00";0.011
"2016-06-11 02:10:00";0.011
"2016-06-11 02:35:00";0.011
"2016-06-11 03:00:00";0.01
"2016-06-11 03:25:00";0.01
"2016-06-11 03:50:00";0.01
"2016-06-11 04:15:00";0.009
"2016-06-11 04:40:00";0.009
"2016-06-11 05:05:00";0.009
"2016-06-11 05:30:00";0.009
"2016-06-11 05:55:00";0.008
"2016-06-11 06:20:00";0.008
"2016-06-11 06:45:00";0.008
"2016-06-11 07:10:00";0.008
"2016-06-11 07:35:00";0.007
"2016-06-11 08:00:00";0.007
"2016-06-11 08:25:00";0.006
"2016-06-11 08:50:00";0.005
"2016-06-11 09:15:00";0.005
"2016-06-11 09:40:00";0.004
"2016-06-11 10:05:00";0.004
"2016-06-11 10:30:00";0.004
"2016-06-11 10:55:00";0.003
"2016-06-11 11:20:00";0.094
"2016-06-11 11:45:00";0.451
"2016-06-11 12:10:00";0.869
"2016-06-11 12:35:00";1.269
"2016-06-11 13:00:00";1.635
"2016-06-11 13:25:00";1.972
"2016-06-11 13:50:00";2.274
"2016-06-11 14:15:00";2.546
"2016-06-11 14:40:00";2.792
"2016-06-11 15:05:00";3.014
"2016-06-11 15:30:00";3.216
"2016-06-11 15:55:00";3.399
"2016-06-11 16:20:00";3.565
"2016-06-11 16:45:00";3.715
"2016-06-11 17:10:00";3.987
"2016-06-11 17:35:00";4.549
"2016-06-11 18:00:00";5.073
"2016-06-11 18:25:00";5.268
"2016-06-11 18:50:00";5.579
"2016-06-11 19:15:00";5.9
"2016-06-11 19:40:00";6.216
"2016-06-11 20:05:00";6.524
"2016-06-11 20:30:00";6.824
"2016-06-11 20:55:00";6.962
"2016-06-11 21:20:00";6.837
"2016-06-11 21:45:00";6.645
"2016-06-11 22:10:00";6.445
"2016-06-11 22:35:00";6.25
"2016-06-11 23:00:00";6.06
